순위,전일,종목코드,종목명,현재가,전일대비,,등락률,매도호가,매수호가,거래량,전일거래량,거래대금
62,26,130660,한전산업,"13,120",▼,-150,-1.13,"13,130","13,120","5,866,471","11,413,179","79,409"
63,70,059090,미코,"18,700",▲,540,2.97,"18,700","18,690","3,991,438","3,941,821","76,385"
64,23,006660,삼성공조,"15,740", ,0,0,"15,740","15,730","4,843,630","10,932,374","76,332"
65,71,028300,HLB,"63,400",▲,600,0.96,"63,400","63,300","1,224,378","1,117,297","76,332"
66,631,071090,하이스틸,"4,165",▲,270,6.93,"4,170","4,165","17,491,738","1,078,831","75,584"
67,61,348370,엔켐,"271,000",▲,"1,500",0.56,"271,500","271,000","279,807","286,007","75,488"
68,68,373220,LG에너지솔루션,"343,000",▲,"12,000",3.63,"343,000","342,500","220,326","213,956","74,771"
69,1994,115500,케이씨에스,"7,750",▲,"1,310",20.34,"7,760","7,750","9,293,749","41,202","73,683"
70,253,152550,한국ANKOR유전,496,▲,15,3.12,496,495,"139,551,389","41,039,660","73,479"
71,39,024060,흥구석유,"14,660",▲,300,2.09,"14,660","14,650","4,706,840","6,886,969","70,875"
72,128,042660,한화오션,"33,100",▲,"1,250",3.92,"33,100","33,050","2,157,173","1,184,423","70,317"
73,118,033100,제룡전기,"71,600",▼,-800,-1.1,"71,700","71,600","954,026","548,423","69,873"
74,206,006340,대원전선,"3,565",▲,20,0.56,"3,570","3,565","18,682,915","6,606,865","69,598"
75,124,039440,에스티아이,"39,700",▲,"2,550",6.86,"39,750","39,700","1,769,202","1,043,675","69,470"
76,355,475150,SK이터닉스,"23,300",▲,"1,450",6.64,"23,350","23,300","2,912,355","511,181","67,697"
77,117,018290,브이티,"36,450",▼,"-1,950",-5.08,"36,450","36,400","1,790,364","1,073,364","67,446"
